S_No,Year,Month,Product_ID,Country,Sales
79073,2016,4,1,Argentina,95752.4839006523
79074,2016,5,1,Argentina,97397.6596073452
79075,2016,6,1,Argentina,99042.8353140382
79076,2016,7,1,Argentina,100688.011020731
79077,2016,8,1,Argentina,102333.186727424
79078,2016,9,1,Argentina,103978.362434117
79079,2016,10,1,Argentina,105623.538140803
79080,2016,11,1,Argentina,107268.713847496
79081,2016,12,1,Argentina,108913.889554188
79082,2017,1,1,Argentina,112717.292301938
79083,2017,2,1,Argentina,114362.468008631
79084,2017,3,1,Argentina,116007.643715324
79085,2016,4,2,Argentina,48836.5354716051
79086,2016,5,2,Argentina,50481.7111782981
79087,2016,6,2,Argentina,52126.8868849911
79088,2016,7,2,Argentina,53772.0625916841
79089,2016,8,2,Argentina,55417.238298377
79090,2016,9,2,Argentina,57062.41400507
79091,2016,10,2,Argentina,58707.5897117555
79092,2016,11,2,Argentina,60352.7654184485
79093,2016,12,2,Argentina,61997.941125141
79094,2017,1,2,Argentina,65801.3438728908
79095,2017,2,2,Argentina,67446.5195795838
79096,2017,3,2,Argentina,69091.6952862768
79097,2017,1,3,Argentina,18885.3954438507
79098,2017,2,3,Argentina,20530.5711505436
79099,2017,3,3,Argentina,22175.7468572366
79100,2016,4,2,Belgium,97204.4972379431
79101,2016,5,2,Belgium,98849.6729446361
79102,2016,6,2,Belgium,100494.848651329
79103,2016,7,2,Belgium,102140.024358022
79104,2016,8,2,Belgium,103785.200064715
79105,2016,9,2,Belgium,105430.375771408
79106,2016,10,2,Belgium,107075.551478093
79107,2016,11,2,Belgium,108720.727184786
79108,2016,12,2,Belgium,110365.902891479
79109,2017,1,2,Belgium,114169.305639229
79110,2017,2,2,Belgium,115814.481345922
79111,2017,3,2,Belgium,117459.657052615
79112,2016,4,1,Columbia,192488.407433329
79113,2016,5,1,Columbia,194133.583140022
79114,2016,6,1,Columbia,195778.758846715
79115,2016,7,1,Columbia,197423.934553408
79116,2016,8,1,Columbia,199069.110260101
79117,2016,9,1,Columbia,200714.285966794
79118,2016,10,1,Columbia,202359.461673479
79119,2016,11,1,Columbia,204004.637380172
79120,2016,12,1,Columbia,205649.813086865
79121,2017,1,1,Columbia,209453.215834614
79122,2017,2,1,Columbia,211098.391541307
79123,2017,3,1,Columbia,212743.567248
79124,2016,4,2,Columbia,145572.459004282
79125,2016,5,2,Columbia,147217.634710975
79126,2016,6,2,Columbia,148862.810417668
79127,2016,7,2,Columbia,150507.98612436
79128,2016,8,2,Columbia,152153.161831053
79129,2016,9,2,Columbia,153798.337537746
79130,2016,10,2,Columbia,155443.513244432
79131,2016,11,2,Columbia,157088.688951125
79132,2016,12,2,Columbia,158733.864657817
79133,2017,1,2,Columbia,162537.267405567
79134,2017,2,2,Columbia,164182.44311226
79135,2017,3,2,Columbia,165827.618818953
79136,2017,1,3,Columbia,115621.318976527
79137,2017,2,3,Columbia,117266.49468322
79138,2017,3,3,Columbia,118911.670389913
79139,2016,4,2,Denmark,193940.42077062
79140,2016,5,2,Denmark,195585.596477313
79141,2016,6,2,Denmark,197230.772184005
79142,2016,7,2,Denmark,198875.947890698
79143,2016,8,2,Denmark,200521.123597391
79144,2016,9,2,Denmark,202166.299304084
79145,2016,10,2,Denmark,203811.47501077
79146,2016,11,2,Denmark,205456.650717463
79147,2016,12,2,Denmark,207101.826424155
79148,2017,1,2,Denmark,210905.229171905
79149,2017,2,2,Denmark,212550.404878598
79150,2017,3,2,Denmark,214195.580585291
79151,2015,11,5,England,91176.4316753172
79152,2015,12,5,England,92821.6073820097
79153,2016,1,5,England,96625.010129767
79154,2016,2,5,England,98270.18583646
79155,2016,3,5,England,99915.361543153
79156,2016,4,5,England,101560.537249838
79157,2016,5,5,England,103205.712956531
79158,2016,6,5,England,104850.888663224
79159,2016,7,5,England,106496.064369917
79160,2015,11,4,England,138092.380104357
79161,2015,12,4,England,139737.555811049
79162,2016,1,4,England,143540.958558807
79163,2016,2,4,England,145186.1342655
79164,2016,3,4,England,146831.309972193
79165,2016,4,4,England,148476.485678878
79166,2016,5,4,England,150121.661385571
79167,2016,6,4,England,151766.837092264
79168,2016,7,4,England,153412.012798957
79169,2015,11,4,Finland,186460.341870695
79170,2015,12,4,Finland,188105.517577387
79171,2016,1,4,Finland,191908.920325145
79172,2016,2,4,Finland,193554.096031838
79173,2016,3,4,Finland,195199.271738531
79174,2016,4,4,Finland,196844.447445216
79175,2016,5,4,Finland,198489.623151909
79176,2016,6,4,Finland,200134.798858602
79177,2016,7,4,Finland,201779.974565295
